"Rk▲","Team","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Year","Num_Teams"
1,"Washington Bullets*",43.6,95.1,0.458,0.9,2.9,0.307,18.9,25,0.758,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107,1980,22
2,"Utah Jazz",41.2,83.1,0.496,0.7,2.3,0.319,19.2,23.7,0.809,11.8,28.8,40.6,24.5,8,4.4,18.8,24.5,102.4,1980,22
3,"Seattle SuperSonics*",43.3,92.3,0.47,0.7,2.3,0.312,21.1,27.5,0.768,16.8,31.1,47.9,24.9,9.1,5.2,18.2,22.7,108.5,1980,22
4,"San Diego Clippers",43,91.4,0.47,2.2,6.6,0.326,19.5,26.4,0.736,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6,1980,22
5,"San Antonio Spurs*",47,94.4,0.498,0.6,2.5,0.252,24.7,30.8,0.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,1980,22
6,"Portland Trail Blazers*",41.6,87.4,0.476,0.3,1.6,0.197,19,25.6,0.743,15.8,29.4,45.2,23.1,8.6,5.8,18.9,23.9,102.5,1980,22
7,"Phoenix Suns*",43.5,88.2,0.493,0.8,3.4,0.243,23.2,30.1,0.773,13.1,30,43,27.8,11.1,4.2,19.9,22.6,111.1,1980,22
8,"Philadelphia 76ers*",43,87.3,0.492,0.3,1.5,0.216,22.9,29.6,0.772,14.5,32.1,46.6,27.1,9.7,8,20.8,22.7,109.1,1980,22
9,"New York Knicks",46.4,93.6,0.496,0.5,2.3,0.22,20.7,27.7,0.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114,1980,22
10,"New Jersey Nets",42.1,91.5,0.461,1,3.6,0.285,23,29.3,0.782,15,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3,1980,22
11,"Milwaukee Bucks*",44.9,92.1,0.488,0.6,1.9,0.323,19.6,25.6,0.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,1980,22
12,"Los Angeles Lakers*",47.5,89.9,0.529,0.2,1.2,0.2,19.8,25.5,0.775,13.2,32.4,45.6,29.4,9.4,6.7,20,21.8,115.1,1980,22
13,"Kansas City Kings*",43.7,91.3,0.478,0.3,1.4,0.219,20.4,27.4,0.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26,108,1980,22
14,"Indiana Pacers",44.4,93.8,0.473,1.1,3.8,0.28,21.4,28.5,0.751,17,28.4,45.4,26.2,11,6.5,18.5,24.1,111.2,1980,22
15,"Houston Rockets*",43.9,91.4,0.48,1.3,4.6,0.274,21.7,28.4,0.766,17,27,44,26.2,9.5,4.5,19.1,23.5,110.8,1980,22
16,"Golden State Warriors",43,89.2,0.482,0.3,1.5,0.223,17.2,23.3,0.738,14.1,29.7,43.8,24.7,9.5,4.1,18.2,25.4,103.6,1980,22
17,"Detroit Pistons",44.4,92.6,0.48,0.7,2.7,0.26,19.4,26.2,0.74,15,29.5,44.4,23.8,9.5,6.9,21.2,25.2,108.9,1980,22
18,"Denver Nuggets",42.2,91.1,0.463,1,3.1,0.325,22.8,31,0.737,16,30.8,46.8,25.4,9.1,4.9,18.7,23.4,108.3,1980,22
19,"Cleveland Cavaliers",46.5,98.1,0.474,0.4,2.3,0.193,20.8,26.9,0.772,15.9,29,45,25.7,9.3,4.2,16.7,23.6,114.1,1980,22
20,"Chicago Bulls",41,84.7,0.484,0.9,3.4,0.255,24.6,31.6,0.779,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5,1980,22
21,"Boston Celtics*",44.1,90.1,0.49,2,5.1,0.384,23.3,29.9,0.779,15,30,44.9,26.8,9.9,3.8,18.8,24.1,113.5,1980,22
22,"Atlanta Hawks*",39.8,85.7,0.464,0.2,0.9,0.173,24.9,32.3,0.771,16.7,29.3,46,23.3,9.5,6.6,18.2,28,104.5,1980,22
NA,"League Average",43.6,90.6,0.481,0.8,2.8,0.28,21.3,27.8,0.764,15.1,29.9,44.9,25.8,9.4,5.3,18.9,24.4,109.3,1980,22
NA,"Denver Nuggets",46.1,97.1,0.475,0.4,1.8,0.207,29.1,37.2,0.783,16.2,30.5,46.6,24.8,8.8,4.6,17.6,25.7,121.8,1981,23
NA,"Milwaukee Bucks*",45.4,91.1,0.498,0.4,1.6,0.229,22,28.5,0.77,15.4,29.4,44.7,28.3,10.5,6.5,19.3,26.8,113.1,1981,23
NA,"San Antonio Spurs*",43.5,88.7,0.491,0.2,1,0.176,25,32.5,0.769,15.9,31.5,47.4,25,8.4,7.8,18.7,25.8,112.3,1981,23
NA,"Philadelphia 76ers*",44.3,86.3,0.514,0.2,1,0.226,22.7,29.6,0.768,13.3,31.9,45.2,28.9,10.5,7.2,20.8,25.1,111.7,1981,23
NA,"Los Angeles Lakers*",46.1,90,0.512,0.2,1.1,0.181,18.8,25.8,0.729,14.2,30.4,44.6,28.8,9.9,6.7,19,23.8,111.2,1981,23
NA,"Portland Trail Blazers*",45.6,91.9,0.496,0.3,1.8,0.169,19.2,26.7,0.718,15.2,29.1,44.3,27.4,9.4,5.9,18.5,24.8,110.7,1981,23
NA,"Phoenix Suns*",43.7,89.3,0.49,0.4,2,0.217,22.1,29.6,0.745,15,30.4,45.4,26.9,10.7,5.1,21.1,24.3,110,1981,23
NA,"Boston Celtics*",43.7,86.6,0.504,0.8,2.9,0.27,21.7,28.9,0.752,14.1,29.6,43.6,26.9,8.3,7.2,19.2,24.3,109.9,1981,23
NA,"Golden State Warriors",43.4,88.8,0.489,0.7,2.6,0.286,22.3,30.6,0.727,17.1,28.9,46,24.7,7.5,3.7,18.9,26.3,109.8,1981,23
NA,"Chicago Bulls*",42.2,84.2,0.501,0.5,2.2,0.212,24.2,31.3,0.774,15,30.2,45.1,23.5,8.9,6.3,20.4,25.1,109,1981,23
NA,"Houston Rockets*",43.6,89.5,0.487,0.3,1.4,0.178,20.9,27.1,0.77,14.8,28.6,43.5,25.6,8.6,4.8,17.7,23.2,108.3,1981,23
NA,"New York Knicks*",42.7,88.5,0.483,0.7,2.9,0.237,21.7,29.1,0.747,13.9,26.9,40.8,24.1,10.5,3.8,17.8,23.4,107.9,1981,23
NA,"Indiana Pacers*",42.6,88.4,0.482,0.4,2.1,0.178,22.1,31,0.715,16.2,27.6,43.8,25.5,10.2,5.9,18.2,24.5,107.6,1981,23
NA,"Kansas City Kings*",43.6,87.2,0.5,0.6,2,0.292,19.2,26.9,0.714,12.6,29.9,42.5,27.7,8.8,4.7,17.7,25.5,106.9,1981,23
NA,"New Jersey Nets",42.4,89.2,0.475,0.4,1.7,0.246,21.7,28.9,0.751,13.3,29,42.3,25.2,9.1,5.6,20.3,26.9,106.9,1981,23
NA,"San Diego Clippers",42.4,88.8,0.477,1.6,5,0.324,20.1,27.4,0.735,14.3,26.1,40.4,25.6,9.3,3.6,17.2,25.3,106.5,1981,23
NA,"Cleveland Cavaliers",43.4,92.8,0.467,0.9,3,0.289,18.1,23.3,0.778,15.3,27.4,42.7,24.5,7.7,3.9,17,24.3,105.7,1981,23
NA,"Washington Bullets",43.3,91.7,0.472,0.8,2.9,0.27,18.3,25.3,0.723,14.1,30.9,45,26.2,7.8,4.8,17.3,23.1,105.6,1981,23
NA,"Atlanta Hawks",40.1,83.7,0.479,0.1,1,0.122,24.5,31.6,0.777,14.6,27.1,41.8,22.5,9.1,5.7,19.6,27.8,104.9,1981,23
NA,"Seattle SuperSonics",40.8,87.1,0.468,0.4,1.4,0.274,22.1,29,0.763,14.2,29.7,43.9,23.7,7.7,5.3,18.6,24.2,104,1981,23
NA,"Dallas Mavericks",39.1,84.5,0.462,0.6,2,0.279,22.8,30.3,0.751,13.5,26.5,40.1,24.2,6.8,2.6,17.5,24.5,101.5,1981,23
NA,"Utah Jazz",40.6,83.2,0.488,0.5,2,0.258,19.5,25.4,0.767,11.7,28.4,40.1,23.8,7.8,4.7,17.4,25.7,101.2,1981,23
NA,"Detroit Pistons",39.5,85.2,0.463,0.2,1,0.155,20.6,28.4,0.725,14.6,25.7,40.4,22.2,10.8,6,21.5,25.9,99.7,1981,23
NA,"League Average",43,88.4,0.486,0.5,2,0.245,21.7,28.9,0.751,14.5,28.9,43.5,25.5,9,5.3,18.7,25.1,108.1,1981,23
NA,"Denver Nuggets*",48.5,93.4,0.52,0.5,1.8,0.268,28.9,36.3,0.796,14,29.8,43.8,27.7,8.1,4.5,17.9,26,126.5,1982,23
NA,"Los Angeles Lakers*",47.8,92.5,0.517,0.2,1.1,0.138,18.9,26.4,0.717,15.3,30.5,45.9,28.7,10.3,6.3,17.9,24.4,114.6,1982,23
NA,"San Antonio Spurs*",45.1,92.8,0.486,0.8,3.1,0.254,22.1,28.5,0.776,15.3,30.9,46.2,27.5,7.3,6.8,15.8,27,113.1,1982,23
NA,"Boston Celtics*",44.6,89.4,0.499,0.6,2.2,0.266,22.2,30,0.74,15.3,30.4,45.6,25.9,8,6.9,17.7,24.6,112,1982,23
NA,"Philadelphia 76ers*",44.1,85,0.518,0.5,1.7,0.295,22.5,30.1,0.747,12.6,29.1,41.7,27.6,10.4,7.6,18,26.6,111.2,1982,23
NA,"Detroit Pistons",43.4,90.1,0.482,0.6,2.6,0.244,23.6,31.5,0.751,15.8,28.6,44.4,24.7,9,6.9,19.9,26.3,111.1,1982,23
NA,"Golden State Warriors",44.5,89.6,0.496,1.1,4,0.28,20.8,29,0.717,15.6,29.9,45.5,22.2,8.4,4.8,17.4,27.1,110.9,1982,23
NA,"Utah Jazz",44.9,90.8,0.494,0.3,1.2,0.227,20.9,27.8,0.751,14,28.8,42.8,23.1,8.5,4.4,17.5,26.8,110.9,1982,23
NA,"Portland Trail Blazers",44.3,87.6,0.505,0.4,1.7,0.207,21,29.1,0.72,13.9,28.7,42.6,25,8.6,4.5,17,24.5,109.8,1982,23
NA,"San Diego Clippers",43.3,86.6,0.5,1.2,4.1,0.293,20.6,28.5,0.723,13.8,26.8,40.6,22.9,7.8,3.6,19.1,28.7,108.5,1982,23
NA,"Milwaukee Bucks*",43.2,85.5,0.505,0.6,2,0.299,21.4,28.4,0.753,14.2,29.5,43.7,27.2,9.3,5.5,19.4,27.8,108.4,1982,23
NA,"Seattle SuperSonics*",42.7,87.5,0.488,0.5,1.9,0.248,21.3,28.8,0.74,13.5,31,44.5,25.6,8.4,5.6,16.5,25.1,107.3,1982,23
NA,"Kansas City Kings",44,88.8,0.495,0.3,1.6,0.2,18.9,26.3,0.719,13.2,27.8,41,25.1,9.1,4.9,18.4,28.8,107.1,1982,23
NA,"New Jersey Nets*",42.7,88.1,0.484,0.4,1.8,0.205,20.9,28.7,0.728,14.6,28.3,42.9,25.6,11.2,5.9,20.1,28,106.7,1982,23
NA,"Chicago Bulls",41.1,82,0.501,0.7,2.6,0.254,23.8,31,0.767,13.7,30.8,44.5,24.9,7.1,5.9,20,24.5,106.6,1982,23
NA,"New York Knicks",43,87.5,0.491,0.7,2.6,0.271,19.5,26.5,0.738,14.2,27.7,42,25.3,8.8,4.1,18.1,26.8,106.2,1982,23
NA,"Phoenix Suns*",42.8,87.1,0.491,0.7,2.1,0.31,19.9,26.3,0.758,13.7,30.7,44.4,27.1,9.2,5.2,18.6,24.7,106.2,1982,23
NA,"Houston Rockets*",42.7,89.8,0.476,0.6,2.1,0.284,19.8,27.1,0.729,17.1,27.9,45,24.1,7.9,5.2,16.1,22.8,105.9,1982,23
NA,"Dallas Mavericks",41.3,88.1,0.469,0.7,2.3,0.289,21.2,28.9,0.735,14.8,27.2,42,25.8,6.9,3.8,16.1,26.7,104.6,1982,23
NA,"Washington Bullets*",41.5,87.4,0.474,0.7,2.9,0.25,19.8,25.7,0.772,12.8,31.5,44.3,24.2,7.8,4.8,17,25.3,103.5,1982,23
NA,"Cleveland Cavaliers",41.5,89.4,0.464,0.3,1.7,0.182,19.9,26.6,0.747,14.5,26.5,41,22.8,7.7,4.4,16.1,26.7,103.2,1982,23
NA,"Indiana Pacers",40.6,87.4,0.465,1.3,3.9,0.326,19.7,26.5,0.741,13.9,28.9,42.8,23.1,9.2,6,17,24.9,102.2,1982,23
NA,"Atlanta Hawks*",39.1,82.6,0.474,0.3,1.6,0.219,22.4,29.1,0.768,13.8,28.9,42.7,22.1,7.4,5.9,16.4,27.7,101,1982,23
NA,"League Average",43.3,88.2,0.491,0.6,2.3,0.262,21.3,28.6,0.746,14.3,29.1,43.5,25.2,8.5,5.4,17.7,26.2,108.6,1982,23
NA,"Denver Nuggets*",48.2,97.5,0.494,0.3,1.5,0.19,26.6,32.9,0.808,14.8,30.8,45.6,28.5,9.6,4.3,18.2,25.5,123.2,1983,23
NA,"Los Angeles Lakers*",48.3,91.6,0.528,0.1,1.2,0.104,18.2,24.8,0.736,15.1,29.7,44.7,30.7,10.3,5.8,19.3,23.5,115,1983,23
NA,"San Antonio Spurs*",45.1,89.5,0.504,1.1,3.8,0.305,23,30.1,0.765,15,31.7,46.7,27.6,8.2,5.7,18.3,25.5,114.3,1983,23
NA,"Kansas City Kings",45.4,91.3,0.497,0.6,2.6,0.237,22.4,30.9,0.727,15.3,29.4,44.7,26.3,9.3,5,20.6,29.7,113.8,1983,23
NA,"Dallas Mavericks",44.8,92.1,0.487,0.5,2.3,0.232,22.6,30,0.752,15.8,29,44.8,27.2,6.7,4.2,16.4,25.2,112.7,1983,23
NA,"Detroit Pistons",44.2,92.7,0.477,0.9,3.3,0.265,23.4,31.6,0.742,16,30.2,46.2,25.7,8.3,7,19,25.9,112.7,1983,23
NA,"Boston Celtics*",45.3,92,0.492,0.5,2.3,0.21,21.1,28.6,0.737,15.5,30.9,46.4,27,9.6,6.4,18.8,25.1,112.1,1983,23
NA,"Philadelphia 76ers*",43.9,88,0.499,0.3,1.3,0.229,24,32.3,0.742,16.3,31.7,47.9,24.6,9.9,7,19.8,24.9,112.1,1983,23
NA,"Chicago Bulls",43.1,89.9,0.48,0.5,2.5,0.215,24.2,32.8,0.737,15.5,30.8,46.3,25.4,8.1,4.9,21.3,26.7,111,1983,23
NA,"Seattle SuperSonics*",43.9,88.7,0.494,0.4,1.7,0.21,21.9,30,0.73,14,31.3,45.4,27.8,8.3,5.3,18.7,24,110,1983,23
NA,"Utah Jazz",43,89.5,0.48,0.5,2.2,0.24,22.5,29.8,0.756,13.3,31.1,44.4,26.5,9.2,7.3,20.5,24.6,109,1983,23
NA,"Indiana Pacers",45.2,94.2,0.48,0.6,2.9,0.212,17.6,23.3,0.758,15.8,28,43.8,26.2,9.2,5,18.7,25.4,108.7,1983,23
NA,"Golden State Warriors",44.2,91.6,0.483,0.4,1.8,0.227,19.8,26.8,0.737,15.6,27.9,43.5,24,10.4,5.2,19.6,26.1,108.6,1983,23
NA,"San Diego Clippers",44.2,93.1,0.475,0.8,3.2,0.244,19.4,26.8,0.724,17,25.7,42.7,25.5,10,5,19.5,27.9,108.6,1983,23
NA,"Portland Trail Blazers*",42.2,86.9,0.486,0.4,1.8,0.233,22.6,30.6,0.738,14.4,29,43.4,24.8,9.1,4.7,18.2,23.9,107.4,1983,23
NA,"Phoenix Suns*",43.4,87.3,0.497,0.5,1.9,0.253,19.8,26.7,0.743,13.3,30.7,44,28,9.1,6,18.8,25.1,107,1983,23
NA,"Milwaukee Bucks*",42.5,87,0.489,0.5,2.1,0.219,21.1,28,0.753,13.4,30.2,43.6,25.8,8.1,6.5,17.6,26,106.6,1983,23
NA,"New Jersey Nets*",42.8,87.1,0.492,0.4,1.8,0.201,19.8,28.1,0.705,15.4,29.6,45,26.1,11.1,7.2,22.8,26.4,105.8,1983,23
NA,"Atlanta Hawks*",40.9,87.1,0.469,0.5,2.3,0.239,19.3,25.7,0.751,13.9,29.7,43.6,23.7,7,8.1,17.4,24.7,101.6,1983,23
NA,"New York Knicks*",39.9,82.8,0.482,0.4,1.6,0.252,19.8,27.8,0.71,13.2,27.6,40.8,24.8,8.5,4.6,18.4,26.6,100,1983,23
NA,"Houston Rockets",40.7,90.8,0.448,0.8,3.3,0.247,17.1,23.6,0.725,14.7,27.6,42.3,23.5,7.9,5.1,19.2,26,99.3,1983,23
NA,"Washington Bullets",40.3,86.1,0.468,0.9,2.9,0.295,17.7,25.1,0.705,13.4,29.6,43,25,8.9,4.9,19.4,23.9,99.2,1983,23
NA,"Cleveland Cavaliers",39.7,85.3,0.465,0.4,1.5,0.25,17.4,24.2,0.721,14.3,29.4,43.7,21.2,7.5,3.5,18.8,27.3,97.1,1983,23
NA,"League Average",43.5,89.7,0.485,0.5,2.3,0.238,20.9,28.3,0.74,14.8,29.6,44.5,25.9,8.9,5.6,19.1,25.6,108.5,1983,23
NA,"Denver Nuggets*",48,97.4,0.493,0.9,3.1,0.302,26.8,32.8,0.818,13.8,29.8,43.6,30.3,8.7,4.3,16.4,27.8,123.7,1984,23
NA,"San Antonio Spurs",47.7,94.2,0.506,1,3.2,0.3,24,31.8,0.755,15,30.8,45.8,28.8,8.4,6,17.6,26.2,120.3,1984,23
NA,"Detroit Pistons*",46.3,96.5,0.48,0.4,1.7,0.227,24.1,31.1,0.775,17.4,29.7,47.1,27.5,8.5,5.1,16,26.5,117.1,1984,23
NA,"Los Angeles Lakers*",47,88.4,0.532,0.7,2.8,0.257,20.9,27.7,0.754,13.4,30.5,43.8,29.9,8.9,5.8,19.2,25,115.6,1984,23
NA,"Utah Jazz*",44,88.3,0.498,1.2,3.9,0.319,25.8,33,0.781,13.4,30.8,44.1,27.2,8.5,7.4,18.4,24.1,115,1984,23
NA,"Portland Trail Blazers*",44.3,87.7,0.505,0.3,1.6,0.194,24.2,32.2,0.754,15.3,26.8,42,25.4,9.9,4.8,18.1,26,113.1,1984,23
NA,"Boston Celtics*",44.1,88.2,0.5,0.7,2.8,0.24,23.3,29.4,0.792,14.1,31,45.1,25.9,8.2,5.2,17.3,23.8,112.1,1984,23
NA,"Phoenix Suns*",44.8,88,0.509,0.9,3.5,0.254,20.4,26.9,0.759,13,28,41,27,8.5,4.7,17.7,26.2,111,1984,23
NA,"San Diego Clippers",44.3,89.3,0.496,0.3,1.6,0.188,21.8,29.6,0.736,15.9,29,45,24.2,6.9,4.7,18.5,24.6,110.7,1984,23
NA,"Houston Rockets",45.5,91.9,0.495,0.4,1.9,0.195,19.3,26.1,0.74,14.6,30.3,44.9,26.9,7.6,6.3,19,28.3,110.6,1984,23
NA,"Dallas Mavericks*",44.1,88.2,0.5,0.5,2.2,0.228,21.6,28.7,0.755,13.3,27.6,40.9,26.4,7.1,4.4,15.9,23.2,110.4,1984,23
NA,"Kansas City Kings*",42.9,88.2,0.486,0.6,2.3,0.275,23.6,30.4,0.777,14,27.7,41.7,27.2,8.7,4.7,18.3,26.8,110,1984,23
NA,"New Jersey Nets*",44.1,88.5,0.498,0.6,2.8,0.211,21.2,30.3,0.7,14.9,28.2,43.1,26.2,9.9,6.1,19.6,27.4,110,1984,23
NA,"Golden State Warriors",42.9,91.9,0.467,0.7,2.8,0.243,23.4,31.4,0.743,17,26.5,43.4,22.4,10.1,4.2,18.5,25.7,109.9,1984,23
NA,"Seattle SuperSonics*",42.2,86.4,0.488,0.3,1.7,0.193,23.4,30,0.78,13,28.4,41.4,27.2,7.8,4.3,16.6,23,108.1,1984,23
NA,"Philadelphia 76ers*",41.3,83.3,0.495,0.4,1.3,0.271,24.9,33,0.754,14.4,29,43.5,24.8,9.8,8,19.9,24.9,107.8,1984,23
NA,"New York Knicks*",41.3,83.4,0.495,0.6,2,0.285,23.7,30.6,0.775,13.3,27.2,40.5,24.9,9.8,4.4,19.4,27.8,106.9,1984,23
NA,"Milwaukee Bucks*",41.9,85,0.492,0.7,2.8,0.254,21.3,28.7,0.74,13.8,29.1,42.9,25.8,7.8,6,17.3,26.4,105.7,1984,23
NA,"Indiana Pacers",42,87,0.483,0.6,2.5,0.232,19.8,25.8,0.766,12.2,29.2,41.5,26.5,10.2,4.9,18.6,25.1,104.5,1984,23
NA,"Chicago Bulls",40.3,85,0.474,0.2,1.4,0.171,22.8,30.6,0.746,13.9,28,42,25.5,8.4,5.5,19.2,26.8,103.7,1984,23
NA,"Washington Bullets*",40.8,84.2,0.484,0.9,3.4,0.252,20.3,26.8,0.756,12.5,29.1,41.6,26.7,6.8,3.9,17.7,24.3,102.7,1984,23
NA,"Cleveland Cavaliers",41,88.2,0.465,0.5,2,0.262,19.7,26.6,0.743,14.8,29.1,43.9,23.5,7.7,4.6,16.2,26.9,102.3,1984,23
NA,"Atlanta Hawks*",39.4,83,0.474,0.3,1.3,0.217,22.4,29.4,0.761,13.6,27.2,40.8,22.3,7.6,6.8,16.2,25.5,101.5,1984,23
NA,"League Average",43.5,88.4,0.492,0.6,2.4,0.25,22.6,29.7,0.76,14.2,28.8,43,26.2,8.5,5.3,17.9,25.8,110.1,1984,23
NA,"Denver Nuggets*",47.3,97.3,0.486,0.9,2.9,0.311,24.6,31.3,0.785,16.2,28.1,44.3,27.6,10.9,5.2,16.9,26.2,120,1985,23
NA,"Los Angeles Lakers*",48.2,88.5,0.545,1.1,3.6,0.305,20.8,27.2,0.763,13,31.1,44.1,31.4,8.5,5.9,18.7,23.5,118.2,1985,23
NA,"Detroit Pistons*",46.8,97.5,0.48,0.5,2.4,0.226,21.7,27.6,0.788,17.1,30.9,48,28.1,8.4,4.8,16.4,25.3,116,1985,23
NA,"Portland Trail Blazers*",45.2,89.9,0.503,0.6,2.5,0.252,24.4,32.5,0.751,14.7,28,42.7,27.1,10,6.3,18.1,23.9,115.5,1985,23
NA,"Boston Celtics*",45.4,89.3,0.508,1.3,3.8,0.356,22.7,28.1,0.806,13.6,32.1,45.7,27.9,7.9,5,16.2,21.7,114.8,1985,23
NA,"San Antonio Spurs*",45.1,87.8,0.513,0.7,2.5,0.272,23.9,31.4,0.763,13.7,30.1,43.9,28.2,9.2,5.4,18.8,26.6,114.8,1985,23
NA,"Kansas City Kings",44.7,88.7,0.504,0.8,2.9,0.265,24.7,31.6,0.779,14.2,28.4,42.6,28.6,8.1,3.7,19.4,26.5,114.8,1985,23
NA,"Philadelphia 76ers*",42,85.3,0.492,0.7,2.7,0.263,28.2,35.2,0.803,15.9,28.8,44.7,24.4,10,6.5,19.2,24,112.9,1985,23
NA,"Houston Rockets*",45.7,90.7,0.504,0.5,2.3,0.22,19.3,27.6,0.699,16.2,29.2,45.4,27.3,8.3,7.3,19.6,24.8,111.2,1985,23
NA,"Dallas Mavericks*",43.4,88.8,0.489,1.9,5.4,0.343,22.5,28.3,0.793,13.4,28.6,42,26.2,7,4.1,14.4,21.9,111.2,1985,23
NA,"Milwaukee Bucks*",43.5,88.5,0.491,1.1,3.6,0.303,22.8,30.2,0.757,15.3,28.7,44,26.4,8.4,5.9,16.9,27.3,110.9,1985,23
NA,"Golden State Warriors",42.7,92.1,0.463,1.4,4.8,0.282,23.7,30.9,0.768,16.2,26.1,42.3,21.5,9.8,3.5,17.8,26,110.4,1985,23
NA,"New Jersey Nets*",44.5,90.8,0.49,0.6,2.7,0.232,19.9,27.3,0.729,15,28.4,43.4,26.4,9.4,5.1,16.5,24.5,109.5,1985,23
NA,"Utah Jazz*",42.4,89,0.476,1.3,3.7,0.336,22.9,29.7,0.772,13.2,31.1,44.3,26.1,8.7,8.5,19.2,23.9,109,1985,23
NA,"Chicago Bulls*",42.1,84.3,0.5,0.4,2,0.18,24.2,30.8,0.784,13.1,28.9,42,24.3,7.6,5.7,17.8,25.3,108.7,1985,23
NA,"Cleveland Cavaliers*",42.3,89.8,0.471,1.2,4.1,0.287,22.8,30.4,0.749,14.7,29.8,44.5,25.6,7.6,5.8,16.9,26.5,108.6,1985,23
NA,"Indiana Pacers",42.5,89.3,0.476,0.4,1.9,0.194,22.8,30.7,0.744,14.6,32,46.6,23.7,7.6,4.5,19.8,27.3,108.3,1985,23
NA,"Phoenix Suns*",42.8,87.1,0.491,1.1,3.7,0.283,21.4,27.8,0.771,12.5,29.6,42.1,28.5,8.9,4.3,19.3,24.8,108,1985,23
NA,"Los Angeles Clippers",43,86.8,0.495,0.7,2.3,0.298,20.4,26.9,0.758,14.2,29.7,43.9,23.6,6.5,6.1,19.4,22.4,107.1,1985,23
NA,"Atlanta Hawks",42,86.8,0.484,0.9,2.9,0.311,21.7,28.9,0.752,14.2,28.6,42.8,24.5,8.1,6.6,18,25,106.6,1985,23
NA,"Washington Bullets*",43.1,90,0.479,1.3,4.9,0.274,18,24.3,0.743,12.3,29.2,41.5,25.5,8.6,4.8,15.6,22.8,105.5,1985,23
NA,"New York Knicks",41.9,86.6,0.484,0.6,2.4,0.258,20.8,28.7,0.726,13.6,25.6,39.2,24.4,9.2,3.3,17.8,29.2,105.2,1985,23
NA,"Seattle SuperSonics",40,84.3,0.474,0.5,2.3,0.243,21.7,28.1,0.771,12.4,27.9,40.3,26.6,7.9,4.2,18.2,24.1,102.1,1985,23
NA,"League Average",43.8,89.1,0.491,0.9,3.1,0.282,22.4,29.4,0.764,14.3,29.2,43.5,26.3,8.5,5.3,17.9,24.9,110.8,1985,23
NA,"Los Angeles Lakers*",46.8,89.5,0.522,1.7,5,0.337,22.1,28.4,0.778,13.4,31.2,44.6,29.7,8.5,5.1,17.9,24.8,117.3,1986,23
NA,"Dallas Mavericks*",44.3,88.5,0.501,1.7,5.4,0.316,25,32.2,0.776,12.9,29.9,42.8,25.7,7.4,4.5,15.7,21.1,115.3,1986,23
NA,"Portland Trail Blazers*",44,88.8,0.496,0.9,3.4,0.269,26.1,34.1,0.765,14.1,28.2,42.3,26.6,10.5,4.3,18.6,26.9,115.1,1986,23
NA,"Denver Nuggets*",45.2,96,0.471,0.9,3.7,0.233,23.5,29.5,0.798,14.9,28.3,43.2,26.1,10.1,5.1,16.3,26.4,114.8,1986,23
NA,"Milwaukee Bucks*",43.9,89.1,0.493,1.5,4.7,0.327,25.2,32.9,0.764,14.5,29.5,44,26.3,9.8,5.6,16.7,27,114.5,1986,23
NA,"Houston Rockets*",45.8,93.5,0.49,1,3.8,0.274,21.7,29.7,0.73,16,29.7,45.7,28.3,9.1,6.7,16.8,24.3,114.4,1986,23
NA,"Detroit Pistons*",45.8,94.5,0.484,0.7,2.2,0.302,22,28,0.783,15.6,30,45.6,28.3,9,4.1,16.4,25.6,114.2,1986,23
NA,"Boston Celtics*",45.3,89.2,0.508,1.7,4.8,0.351,21.8,27.4,0.794,12.9,33.6,46.4,29.1,7.8,6.2,16.6,21.4,114.1,1986,23
NA,"Golden State Warriors",44.5,92.3,0.482,1.1,3.4,0.313,23.3,30.7,0.76,15.5,28.6,44.1,24.6,9.2,4.3,17.1,24.8,113.4,1986,23
NA,"San Antonio Spurs*",43.9,86.6,0.506,0.6,2.4,0.235,23,30.8,0.746,13,29.4,42.5,27.6,9.8,4.8,19.8,25.8,111.2,1986,23
NA,"Philadelphia 76ers*",41.9,86.1,0.487,0.6,2.7,0.228,26,34.3,0.758,16.2,29,45.2,24.6,10.5,6,19.5,21.9,110.4,1986,23
NA,"Phoenix Suns",42.9,85.3,0.503,0.5,2.2,0.208,23.8,32.7,0.726,12.6,29.9,42.5,27.7,9.4,4.6,21.5,27.6,110,1986,23
NA,"Chicago Bulls*",42.4,88.1,0.481,1.1,3.9,0.278,23.4,30.5,0.769,15.6,27.8,43.4,24.5,7.4,4.9,17.5,26.4,109.3,1986,23
NA,"New Jersey Nets*",43.3,89,0.486,0.5,2.6,0.201,22.1,29.2,0.755,14.4,30.3,44.7,26,9.1,4.2,19.2,26,109.1,1986,23
NA,"Sacramento Kings*",43.1,88,0.49,0.4,1.6,0.224,22.2,28.5,0.778,13.8,29,42.8,28.1,7.3,4.7,18.7,26,108.8,1986,23
