"Rk▲","Team","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Year","Num_Teams"
NA,"Golden State Warriors*",42.8,85.1,0.503,11.3,28.9,0.391,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113.5,2018,30
NA,"Houston Rockets*",38.7,84.2,0.46,15.3,42.3,0.362,19.6,25.1,0.781,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,2018,30
NA,"New Orleans Pelicans*",42.7,88.3,0.483,10.2,28.2,0.362,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7,2018,30
NA,"Toronto Raptors*",41.3,87.4,0.472,11.8,33,0.358,17.3,21.8,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7,2018,30
NA,"Cleveland Cavaliers*",40.4,84.8,0.476,12,32.1,0.372,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,2018,30
NA,"Denver Nuggets",40.7,86.6,0.47,11.5,30.9,0.371,17.1,22.3,0.767,11,33.5,44.5,25.1,7.6,4.9,15,18.7,110,2018,30
NA,"Philadelphia 76ers*",40.8,86.6,0.472,11,29.8,0.369,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,2018,30
NA,"Minnesota Timberwolves*",41,86.1,0.476,8,22.5,0.357,19.4,24.1,0.804,10.3,31.6,42,22.7,8.4,4.2,12.5,18.2,109.5,2018,30
NA,"Los Angeles Clippers",40.3,85.4,0.471,9.5,26.8,0.354,19,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109,2018,30
NA,"Charlotte Hornets",39,86.7,0.45,10,27.2,0.369,20.2,27,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,2018,30
NA,"Los Angeles Lakers",40.7,88.4,0.461,10,29.1,0.345,16.6,23.3,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,2018,30
NA,"Oklahoma City Thunder*",39.9,88.1,0.453,10.7,30.4,0.354,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9,2018,30
NA,"Washington Wizards*",39.9,85.6,0.467,9.9,26.5,0.375,16.8,21.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,2018,30
NA,"Brooklyn Nets",38.2,86.8,0.441,12.7,35.7,0.356,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,2018,30
NA,"Milwaukee Bucks*",39.7,83,0.478,8.8,24.7,0.355,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,2018,30
NA,"Indiana Pacers*",40.8,86.4,0.472,9,24.5,0.369,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,2018,30
NA,"Portland Trail Blazers*",39.3,87,0.452,10.3,28.1,0.366,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7,5.2,13.5,19.5,105.6,2018,30
NA,"New York Knicks",40.7,87.7,0.464,8.2,23.3,0.352,14.9,19,0.787,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5,2018,30
